City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Iqaluit,CA,63.7506,-68.5145,35.33,69,75,4.61,broken clouds
80,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,64.56,57,93,5.44,overcast clouds
81,Whitianga,NZ,-36.8333,175.7,59.77,90,11,9.24,few clouds
82,Dungarpur,IN,23.8333,73.7167,95.58,15,3,16.13,clear sky
83,Broome,US,42.2506,-75.833,84.7,64,0,7.0,clear sky
84,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,72,49,12.01,scattered clouds
85,Carnarvon,AU,-24.8667,113.6333,64.98,51,0,12.62,clear sky
86,Georgetown,MY,5.4112,100.3354,82.35,83,20,5.01,few clouds
87,Sorland,NO,67.667,12.6934,51.66,74,100,16.96,overcast clouds
88,Jamestown,US,42.097,-79.2353,82.94,41,75,10.36,broken clouds
89,Marystown,CA,47.1666,-55.1483,40.86,100,100,8.99,overcast clouds
90,Aksu,CN,41.1231,80.2644,74.64,19,61,8.14,broken clouds
91,Ngaoundere,CM,7.3167,13.5833,72.03,83,64,5.39,light rain
92,Porto Nacional,BR,-10.7081,-48.4172,91.4,36,2,4.41,clear sky
93,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,82.74,80,61,6.44,broken clouds
94,Saskylakh,RU,71.9167,114.0833,30.87,92,100,16.02,overcast clouds
95,Khani,GE,41.9563,42.9566,67.57,95,90,0.65,light rain
96,Talnakh,RU,69.4865,88.3972,33.21,86,100,14.97,overcast clouds
97,Yellowknife,CA,62.456,-114.3525,55.92,54,20,6.91,few clouds
98,Guerrero Negro,MX,27.9769,-114.0611,65.52,66,22,12.59,few clouds
99,Nanakuli,US,21.3906,-158.1547,73.45,80,75,4.61,broken clouds
100,Cam Ranh,VN,11.9214,109.1591,80.56,83,20,2.3,few clouds
101,Qaanaaq,GL,77.484,-69.3632,26.89,62,33,6.4,scattered clouds
102,Kruisfontein,ZA,-34.0033,24.7314,62.89,70,6,11.9,clear sky
103,Camacha,PT,33.0833,-16.3333,69.22,64,40,14.97,scattered clouds
104,Soyo,AO,-6.1349,12.3689,76.66,81,4,9.75,clear sky
105,Chokurdakh,RU,70.6333,147.9167,39.06,92,100,11.3,overcast clouds
106,Southport,GB,53.6478,-3.0065,63.28,65,40,11.5,scattered clouds
107,Plettenberg Bay,ZA,-34.0527,23.3716,58.73,74,19,6.93,few clouds
108,Picayune,US,30.5255,-89.6795,88.84,80,2,3.27,clear sky
109,Thinadhoo,MV,0.5333,72.9333,84.36,70,67,11.74,broken clouds
110,Beidao,CN,34.5686,105.8933,65.05,67,4,4.38,clear sky
