City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nikel,RU,2022-05-26 17:05:04,69.4128,30.222,51.98,60,37,19.71
68,Hobart,AU,2022-05-26 17:05:04,-42.8794,147.3294,53.28,91,62,11.5
69,Arraial Do Cabo,BR,2022-05-26 17:05:04,-22.9661,-42.0278,80.46,54,0,12.66
70,Havre-Saint-Pierre,CA,2022-05-26 17:05:05,50.2334,-63.5986,47.21,55,89,8.1
71,Yulara,AU,2022-05-26 17:02:42,-25.2406,130.9889,59.4,56,66,10.74
72,Mae Sai,TH,2022-05-26 17:05:05,20.4335,99.8762,75.27,86,64,1.28
73,Igrim,RU,2022-05-26 17:05:06,63.1906,64.4162,61.25,65,99,10.54
74,Eureka,US,2022-05-26 17:05:06,40.8021,-124.1637,63.19,82,100,1.01
75,Quatre Cocos,MU,2022-05-26 17:05:07,-20.2078,57.7625,71.71,72,8,6.98
76,Palauig,PH,2022-05-26 17:05:07,15.435,119.9045,81.63,79,80,5.95
77,Provideniya,RU,2022-05-26 17:05:07,64.3833,-173.3,37.24,79,86,4.81
78,Inuvik,CA,2022-05-26 17:05:08,68.3499,-133.7218,47.37,67,93,11.5
79,Chandpur,IN,2022-05-26 17:05:08,29.15,78.2667,88.97,27,16,2.01
80,Polson,US,2022-05-26 17:05:09,47.6936,-114.1632,61.21,59,94,1.54
81,Lorengau,PG,2022-05-26 17:05:09,-2.0226,147.2712,79.61,79,100,4.97
82,Pingliang,CN,2022-05-26 17:05:10,35.5392,106.6861,61.5,64,100,3.09
83,Mangla,PK,2022-05-26 17:05:10,31.8931,72.3817,96.28,18,0,7.65
84,Qaanaaq,GL,2022-05-26 17:05:10,77.484,-69.3632,30.16,61,11,4.36
85,Butaritari,KI,2022-05-26 17:05:11,3.0707,172.7902,80.78,71,88,12.12
86,Hithadhoo,MV,2022-05-26 17:05:11,-0.6,73.0833,84.13,67,65,9.66
87,Geraldton,AU,2022-05-26 17:05:12,-28.7667,114.6,57.61,88,75,8.05
88,Saldanha,ZA,2022-05-26 17:05:12,-33.0117,17.9442,60.84,89,18,10.38
89,Bonavista,CA,2022-05-26 17:05:12,48.6499,-53.1147,41.05,72,90,17.43
90,Hirara,JP,2022-05-26 17:05:13,24.8,125.2833,77.59,88,92,7.4
91,Dunedin,NZ,2022-05-26 17:05:13,-45.8742,170.5036,44.8,60,0,4.0
92,Chokurdakh,RU,2022-05-26 17:05:14,70.6333,147.9167,22.17,89,20,5.66
93,Pevek,RU,2022-05-26 17:05:14,69.7008,170.3133,30.27,82,100,8.08
94,Alim,PH,2022-05-26 17:05:15,9.5649,122.4876,79.36,85,100,7.4
95,Radyvyliv,UA,2022-05-26 17:05:15,50.1299,25.2558,60.71,73,76,11.97
96,Nuuk,GL,2022-05-26 17:00:58,64.1835,-51.7216,32.61,93,75,15.01
97,Pasighat,IN,2022-05-26 17:05:16,28.0667,95.3333,73.92,96,25,2.71
98,Lac Du Bonnet,CA,2022-05-26 17:01:49,50.2536,-96.0612,62.24,47,98,7.52
99,Gbarnga,LR,2022-05-26 17:05:16,6.9956,-9.4722,84.15,63,82,2.46
